LSOA2001,PTAI2015,PTAL
E01001012,35.5055,6a
E01001013,39.6243,6a
E01001014,24.7603,5
E01001015,6.22204,2
E01001016,3.89668,1b
E01001017,1.37466,1a
E01001018,2.04846,1a
E01001019,3.36328,1b
E01001020,4.67434,1b
E01001021,1.14617,1a
E01001022,1.60887,1a
E01001023,10.4685,3
E01001024,8.51651,2
E01001025,6.14325,2
E01001026,5.27346,2
E01001027,2.24387,1a
E01001028,2.08379,1a
E01001029,9.23043,2
E01001030,5.9164,2
E01001031,4.79156,1b
E01001032,2.77842,1b
E01001033,9.35754,2
E01001034,8.50363,2
E01001035,13.8659,3
E01001036,5.14987,2
E01001037,20.9699,5
E01001038,11.1825,3
E01001039,3.77248,1b
E01001040,12.3905,3
E01001041,9.03691,2
E01001042,36.4641,6a
E01001043,53.9885,6b
E01001044,7.24152,2
E01001045,60.7208,6b
E01001046,20.2095,5
E01001047,22.8577,5
E01001048,60.9067,6b
E01001049,4.71877,1b
E01001050,39.7709,6a
E01001051,6.96127,2
E01001052,5.23147,2
E01001053,8.99229,2
E01001054,11.4463,3
E01001055,7.5247,2
E01001056,8.14277,2
E01001057,10.4083,3
E01001058,4.61493,1b
E01001059,4.41691,1b
E01001060,2.61159,1b
E01001061,3.65065,1b
E01001062,4.77354,1b
E01001063,6.27467,2
E01001064,3.8942,1b
E01001065,7.73385,2
E01001066,2.20907,1a
E01001067,2.15772,1a
E01001068,3.55486,1b
E01001069,3.46202,1b
E01001070,1.77365,1a
E01001071,3.236,1b
E01001072,0.191141,1a
E01001073,7.29668,2
E01001074,8.73726,2
E01001075,5.34083,2
E01001076,7.85997,2
E01001077,11.1982,3
E01001078,10.7452,3
E01001079,5.73502,2
E01001080,8.82638,2
E01001081,4.15227,1b
E01001082,6.28667,2
E01001083,8.44081,2
E01001084,4.72448,1b
E01001085,15.3249,4
E01001086,6.09406,2
E01001087,13.2258,3
E01001088,4.84786,1b
E01001089,12.7121,3
E01001090,10.9367,3
E01001091,3.0854,1b
E01001092,5.93937,2
E01001093,8.85416,2
E01001094,2.05585,1a
E01001095,10.7356,3
E01001096,4.41719,1b
E01001097,17.5554,4
E01001098,3.26602,1b
E01001099,5.5911,2
E01001100,9.60498,2
E01001101,1.46314,1a
E01001102,3.41913,1b
E01001103,2.02801,1a
E01001104,1.96121,1a
E01001105,1.46731,1a
E01001106,2.00879,1a
E01001107,2.94006,1b
E01001108,2.22322,1a
E01001109,8.95654,2
E01001110,28.3125,6a
E01001111,16.9747,4
E01001112,10.6505,3
E01001113,15.5807,4
E01001114,14.3506,3
E01001115,7.95014,2
E01001116,13.8783,3
E01001117,14.6037,3
E01001118,14.7016,3
E01001119,2.81466,1b
E01001120,4.18145,1b
E01001121,1.18399,1a
E01001122,3.56812,1b
E01001123,2.10248,1a
E01001124,2.58412,1b
E01001125,6.19633,2
